"","trustLevel","totalScanTimeInSeconds","grandTotal","lineItemVoids","scansWithoutRegistration","quantityModifications","scannedLineItemsPerSecond","valuePerSecond","lineItemVoidsPerPosition","fraud"
"407",3,684,86.69,5,1,0,0.0219298245614035,0.126739766081871,0.333333333333333,0
"408",4,790,64.89,5,9,3,0.020253164556962,0.0821392405063291,0.3125,0
"409",2,1433,64.76,4,9,1,0.0139567341242149,0.045191905094208,0.2,0
"410",5,895,83.1,1,4,3,0.00335195530726257,0.0928491620111732,0.333333333333333,0
"411",1,1428,82.07,9,3,1,0.00140056022408964,0.0574719887955182,4.5,0
"412",3,1099,52.86,10,2,1,0.0236578707916288,0.048098271155596,0.384615384615385,0
"413",5,902,54.43,1,4,2,0.0332594235033259,0.0603436807095344,0.0333333333333333,0
"414",5,1808,30.75,4,7,2,0.00940265486725664,0.0170077433628319,0.235294117647059,0
"415",2,1103,86.78,5,6,0,0.0253853127833182,0.0786763372620127,0.178571428571429,0
"416",2,1396,2.12,1,1,2,0.0136103151862464,0.00151862464183381,0.0526315789473684,0
"417",4,499,30.42,4,6,0,0.0120240480961924,0.0609619238476954,0.666666666666667,0
"418",6,1239,94.94,2,0,5,0.0104923325262308,0.0766263115415658,0.153846153846154,0
"419",1,18,20.66,4,4,5,1.61111111111111,1.14777777777778,0.137931034482759,0
"420",4,455,89.1,7,0,3,0.00879120879120879,0.195824175824176,1.75,0
"421",5,141,51.73,6,5,0,0.099290780141844,0.366879432624113,0.428571428571429,0
"422",4,58,23.55,3,4,3,0.120689655172414,0.406034482758621,0.428571428571429,0
"423",1,846,4.2,3,3,5,0.00118203309692671,0.0049645390070922,3,0
"424",3,801,47.12,10,7,5,0.0287141073657928,0.0588264669163546,0.434782608695652,0
"425",6,1795,88.13,4,10,5,0.00334261838440111,0.0490974930362117,0.666666666666667,0
"426",5,1524,32.56,0,1,2,0.0177165354330709,0.0213648293963255,0,0
"427",6,284,60.84,0,2,3,0.0387323943661972,0.214225352112676,0,0
"428",3,851,15.46,1,2,0,0.0188014101057579,0.0181668625146886,0.0625,0
"429",6,1627,87.66,7,0,5,0.0122925629993854,0.0538783036263061,0.35,0
"430",5,1149,36.63,7,0,4,0.0191470844212359,0.0318798955613577,0.318181818181818,0
"431",2,1269,59.1,5,5,5,0.00630417651694247,0.0465721040189125,0.625,0
"432",1,809,15.94,5,2,3,0.0321384425216316,0.0197033374536465,0.192307692307692,0
"433",5,1122,7.37,5,5,5,0.0124777183600713,0.00656862745098039,0.357142857142857,0
"434",2,1203,74.91,9,1,3,0.0108063175394846,0.0622693266832918,0.692307692307692,0
"435",6,1053,40.34,2,1,0,0.000949667616334283,0.038309591642925,2,0
"436",1,1075,3.22,5,1,3,0.00186046511627907,0.0029953488372093,2.5,0
"437",1,1512,75,11,6,1,0.0158730158730159,0.0496031746031746,0.458333333333333,1
"438",2,524,1.39,8,7,1,0.017175572519084,0.00265267175572519,0.888888888888889,0
"439",5,87,63.45,2,7,3,0.149425287356322,0.729310344827586,0.153846153846154,0
"440",6,1743,42.09,11,2,2,0.0126219162363741,0.0241480206540448,0.5,0
"441",2,1286,61.21,5,9,3,0.00622083981337481,0.047597200622084,0.625,0
"442",1,1403,59.68,4,1,1,0.0135424091233072,0.0425374198146828,0.210526315789474,0
"443",3,482,10.14,8,10,4,0.0435684647302905,0.0210373443983402,0.380952380952381,0
"444",1,22,5.67,11,10,3,0.954545454545455,0.257727272727273,0.523809523809524,0
"445",5,102,14.49,0,2,3,0.166666666666667,0.142058823529412,0,0
"446",2,245,55.29,0,10,2,0.0530612244897959,0.225673469387755,0,0
"447",1,1434,8.6,10,9,2,0.0153417015341702,0.00599721059972106,0.454545454545455,1
"448",1,1486,57.13,4,1,1,0.0154777927321669,0.0384454912516824,0.173913043478261,0
"449",5,336,72.56,2,5,2,0.056547619047619,0.215952380952381,0.105263157894737,0
"450",1,1126,31.39,8,7,3,0.00266429840142096,0.0278774422735346,2.66666666666667,0
"451",6,689,51.27,1,10,0,0.0275761973875181,0.0744121915820029,0.0526315789473684,0
"452",1,886,84.93,9,3,5,0.0158013544018059,0.0958577878103838,0.642857142857143,0
"453",4,1603,90,1,1,5,0.000623830318153462,0.0561447286338116,1,0
"454",3,1808,89.35,5,1,1,0.0138274336283186,0.0494192477876106,0.2,0
"455",1,213,17.76,11,3,0,0.0516431924882629,0.0833802816901408,1,0
"456",3,1515,44.1,1,1,0,0.0158415841584158,0.0291089108910891,0.0416666666666667,0
"457",6,1098,33.87,0,10,1,0.00728597449908925,0.0308469945355191,0,0
"458",3,1814,39.47,3,9,5,0.00882028665931643,0.0217585446527012,0.1875,0
"459",5,937,70.88,4,1,3,0.0064034151547492,0.0756456776947705,0.666666666666667,0
"460",6,1147,17.81,2,9,4,0.00523103748910201,0.0155274629468178,0.333333333333333,0
"461",4,123,88.45,0,7,3,0.0650406504065041,0.719105691056911,0,0
"462",3,1027,80.15,8,5,3,0.00194741966893866,0.0780428432327167,4,0
"463",6,73,31.2,6,3,5,0.410958904109589,0.427397260273973,0.2,0
"464",3,1018,66.26,8,5,2,0.0196463654223969,0.0650884086444008,0.4,0
"465",6,658,49.76,11,4,1,0.0243161094224924,0.0756231003039514,0.6875,0
"466",3,410,53.61,1,7,5,0.0414634146341463,0.130756097560976,0.0588235294117647,0
"467",2,1746,75.13,1,1,5,0.0160366552119129,0.0430297823596793,0.0357142857142857,0
"468",4,945,96.49,10,4,1,0.00211640211640212,0.10210582010582,5,0
"469",3,1082,91.51,11,6,0,0.00369685767097967,0.0845748613678373,2.75,0
"470",4,1793,26.52,3,8,4,0.00780814277746793,0.0147908533184607,0.214285714285714,0
"471",6,511,83.43,3,7,0,0.00195694716242661,0.163268101761252,3,0
"472",4,331,39.03,7,5,3,0.054380664652568,0.117915407854985,0.388888888888889,0
"473",5,1196,87.05,8,7,0,0.0133779264214047,0.0727842809364549,0.5,0
"474",5,1684,35.59,2,3,4,0.0142517814726841,0.0211342042755344,0.0833333333333333,0
"475",5,843,7.77,5,3,3,0.0130486358244365,0.00921708185053381,0.454545454545455,0
"476",6,671,0.14,10,3,1,0.0104321907600596,0.000208643815201192,1.42857142857143,0
"477",4,1724,79.77,0,6,1,0.0104408352668213,0.0462703016241299,0,0
"478",1,1082,10.09,11,3,5,0.011090573012939,0.00932532347504621,0.916666666666667,0
"479",6,1386,57.73,11,4,3,0.0158730158730159,0.0416522366522367,0.5,0
"480",2,157,5.35,11,4,2,0.0700636942675159,0.0340764331210191,1,0
"481",2,923,19.04,1,1,1,0.0119176598049837,0.0206283856988082,0.0909090909090909,0
"482",2,1249,13.14,1,6,1,0.0136108887109688,0.0105204163330665,0.0588235294117647,0
"483",6,663,0.03,8,5,2,0.0407239819004525,4.52488687782805e-05,0.296296296296296,0
"484",6,1477,30.69,0,3,4,0.00947867298578199,0.020778605280975,0,0
"485",4,1225,88.95,11,9,5,0.00326530612244898,0.0726122448979592,2.75,0
"486",1,1399,47.76,3,2,2,0.0121515368120086,0.0341386704789135,0.176470588235294,0
"487",4,227,71.24,0,0,0,0.0308370044052863,0.313832599118943,0,0
"488",4,399,68.52,1,9,4,0.0300751879699248,0.171729323308271,0.0833333333333333,0
"489",3,1705,71.83,0,6,2,0.00234604105571848,0.0421290322580645,0,0
"490",6,69,79.78,8,1,1,0.36231884057971,1.15623188405797,0.32,0
"491",1,1213,93.48,9,1,3,0.0123660346248969,0.0770651277823578,0.6,0
"492",6,1448,58.75,11,8,0,0.0138121546961326,0.0405732044198895,0.55,0
"493",3,723,83.06,11,5,0,0.016597510373444,0.114882434301521,0.916666666666667,0
"494",6,720,49.12,11,4,5,0.0236111111111111,0.0682222222222222,0.647058823529412,0
"495",3,458,6.04,3,10,4,0.0480349344978166,0.0131877729257642,0.136363636363636,0
"496",1,43,23.08,4,6,2,0.604651162790698,0.536744186046512,0.153846153846154,0
"497",6,1649,43.91,9,0,0,0.00970285021224985,0.0266282595512432,0.5625,0
"498",6,583,24.41,9,8,3,0.0205831903945112,0.0418696397941681,0.75,0
"499",2,541,90.34,6,3,4,0.0166358595194085,0.166987060998152,0.666666666666667,0
"500",1,600,8.8,6,8,3,0.0483333333333333,0.0146666666666667,0.206896551724138,1
"501",3,946,43.23,6,5,0,0.0306553911205074,0.0456976744186047,0.206896551724138,0
"502",1,923,72.62,5,9,3,0.0227518959913326,0.0786782231852654,0.238095238095238,1
"503",3,1762,30.71,7,3,3,0.00681044267877412,0.0174290578887628,0.583333333333333,0
"504",6,941,47.36,9,4,0,0.0180658873538789,0.0503294367693943,0.529411764705882,0
"505",3,1449,10.67,9,0,3,0.020703933747412,0.00736369910282954,0.3,0
"506",5,439,34.27,0,5,1,0.0660592255125285,0.0780637813211845,0,0
"507",6,1413,6.91,7,8,5,0.00141542816702052,0.00489030431705591,3.5,0
"508",1,1448,1.22,0,6,1,0.00138121546961326,0.000842541436464088,0,0
"509",6,481,24.17,1,5,1,0.027027027027027,0.0502494802494803,0.0769230769230769,0
"510",4,1325,53.33,3,4,2,0.0226415094339623,0.0402490566037736,0.1,0
"511",3,670,16.76,0,7,5,0.0343283582089552,0.0250149253731343,0,0
"512",2,459,58.95,4,10,5,0.0239651416122004,0.12843137254902,0.363636363636364,0
"513",4,173,53.37,4,2,0,0.00578034682080925,0.30849710982659,4,0
"514",1,389,35.92,6,6,0,0.038560411311054,0.0923393316195373,0.4,0
"515",5,110,19.72,1,7,4,0.118181818181818,0.179272727272727,0.0769230769230769,0
"516",4,1463,59.89,11,9,5,0.0075187969924812,0.0409364319890636,1,0
"517",1,1045,45.74,0,2,4,0.0267942583732057,0.0437703349282297,0,1
"518",1,400,22.96,2,6,0,0.0475,0.0574,0.105263157894737,0
"519",3,868,61.36,6,2,3,0.0276497695852535,0.0706912442396313,0.25,0
"520",6,1192,59.87,8,6,3,0.0201342281879195,0.0502265100671141,0.333333333333333,0
"521",4,1066,14.91,7,8,1,0.00187617260787992,0.0139868667917448,3.5,0
"522",1,1348,78.76,1,0,0,0.0140949554896142,0.0584272997032641,0.0526315789473684,0
"523",6,762,59.93,5,0,4,0.00918635170603675,0.0786482939632546,0.714285714285714,0
"524",4,1039,4.5,0,0,2,0.00288739172281039,0.00433108758421559,0,0
"525",2,884,79.98,4,6,5,0.00452488687782805,0.0904751131221719,1,0
"526",4,1284,22.83,1,3,4,0.0233644859813084,0.0177803738317757,0.0333333333333333,0
"527",2,404,7.98,0,1,2,0.0668316831683168,0.0197524752475248,0,0
"528",6,884,90.71,4,0,5,0.0124434389140271,0.102613122171946,0.363636363636364,0
"529",4,1796,88.53,0,9,0,0.00111358574610245,0.0492928730512249,0,0
"530",3,565,30.39,2,3,4,0.0230088495575221,0.053787610619469,0.153846153846154,0
"531",1,275,65.55,1,5,1,0.0981818181818182,0.238363636363636,0.037037037037037,0
"532",5,1326,73.47,5,1,4,0.0180995475113122,0.0554072398190045,0.208333333333333,0
"533",6,814,41.64,6,3,4,0.00737100737100737,0.0511547911547912,1,0
"534",5,871,83.86,9,9,4,0.0172215843857635,0.0962801377726751,0.6,0
"535",6,1223,16.79,1,4,3,0.000817661488143908,0.0137285363859362,1,0
"536",2,45,32.81,4,4,0,0.133333333333333,0.729111111111111,0.666666666666667,0
"537",5,441,86.58,1,2,3,0.0249433106575964,0.196326530612245,0.0909090909090909,0
"538",1,1545,60.97,4,10,1,0.0103559870550162,0.039462783171521,0.25,0
"539",6,854,18.45,10,9,4,0.0327868852459016,0.0216042154566745,0.357142857142857,0
"540",2,1280,41.86,6,3,1,0.00390625,0.032703125,1.2,0
"541",4,1412,47.42,10,1,5,0.000708215297450425,0.0335835694050991,10,0
"542",3,1520,77.71,7,6,4,0.00855263157894737,0.051125,0.538461538461538,0
"543",2,932,80.12,2,1,3,0.00321888412017167,0.0859656652360515,0.666666666666667,0
"544",4,1302,54.48,7,2,3,0.00998463901689708,0.0418433179723502,0.538461538461538,0
"545",6,206,11.67,6,4,3,0.00970873786407767,0.0566504854368932,3,0
"546",3,1427,17.54,5,8,4,0.0189208128941836,0.01229152067274,0.185185185185185,0
"547",4,514,53.76,6,1,0,0.0408560311284047,0.104591439688716,0.285714285714286,0
"548",3,471,25.25,4,8,3,0.0509554140127389,0.0536093418259023,0.166666666666667,0
"549",1,1434,74.97,3,5,1,0.0181311018131102,0.0522803347280335,0.115384615384615,1
"550",1,764,37.46,4,8,0,0.0209424083769634,0.0490314136125654,0.25,0
"551",1,135,63.18,7,6,4,0.0222222222222222,0.468,2.33333333333333,0
"552",3,1227,9.43,9,4,0,0.006519967400163,0.00768541157294214,1.125,0
"553",6,990,56.52,2,3,4,0.0161616161616162,0.0570909090909091,0.125,0
"554",2,1467,14.48,7,10,5,0.0156782549420586,0.00987048398091343,0.304347826086957,0
"555",5,1345,45.01,11,9,1,0.0200743494423792,0.0334646840148699,0.407407407407407,0
"556",6,1571,13.93,0,6,0,0.0159134309357097,0.00886696371737747,0,0
"557",6,931,16.24,5,5,4,0.0247046186895811,0.0174436090225564,0.217391304347826,0
"558",2,271,97.17,5,2,0,0.0590405904059041,0.358560885608856,0.3125,0
"559",1,19,63.22,0,2,4,0.631578947368421,3.32736842105263,0,0
"560",6,226,56.79,2,10,2,0.0619469026548673,0.251283185840708,0.142857142857143,0
"561",3,731,9.39,2,7,3,0.0369357045143639,0.0128454172366621,0.0740740740740741,0
"562",4,828,66.56,7,4,3,0.0072463768115942,0.0803864734299517,1.16666666666667,0
"563",5,233,0.54,2,8,0,0.0815450643776824,0.00231759656652361,0.105263157894737,0
"564",6,1332,16.78,10,2,4,0.003003003003003,0.0125975975975976,2.5,0
"565",1,1775,30.56,0,2,2,0.00338028169014085,0.0172169014084507,0,0
"566",6,191,8.55,9,4,2,0.00523560209424084,0.0447643979057592,9,0
"567",3,1162,90.67,0,2,0,0.0223752151462995,0.0780292598967298,0,0
"568",6,165,60.67,11,9,4,0.0181818181818182,0.36769696969697,3.66666666666667,0
"569",3,111,99.53,8,10,3,0.0810810810810811,0.896666666666667,0.888888888888889,0
"570",3,839,27.44,10,2,3,0.032181168057211,0.0327056019070322,0.37037037037037,0
"571",1,1747,25.78,3,3,0,0.0108757870635375,0.014756725815684,0.157894736842105,0
"572",3,1683,64.28,10,6,5,0.0130718954248366,0.0381937017231135,0.454545454545455,0
"573",6,389,75.87,9,2,1,0.012853470437018,0.195038560411311,1.8,0
"574",3,1587,30.25,3,1,0,0.00189035916824197,0.0190611216131065,1,0
"575",1,213,48.5,0,0,3,0.126760563380282,0.227699530516432,0,0
"576",1,666,58.91,2,9,1,0.0225225225225225,0.0884534534534535,0.133333333333333,0
"577",4,455,17.87,1,1,4,0.0153846153846154,0.0392747252747253,0.142857142857143,0
"578",3,859,84.15,7,4,2,0.00582072176949942,0.0979627473806752,1.4,0
"579",2,861,74.41,2,0,4,0.00464576074332172,0.0864227642276423,0.5,0
"580",5,889,54.78,8,7,5,0.0247469066366704,0.0616197975253093,0.363636363636364,0
"581",2,1240,10.77,0,5,3,0.0145161290322581,0.00868548387096774,0,0
"582",3,160,2.37,0,9,0,0.05,0.0148125,0,0
"583",1,884,3.61,8,0,5,0.0192307692307692,0.00408371040723982,0.470588235294118,0
"584",2,609,20.04,0,10,4,0.0197044334975369,0.0329064039408867,0,0
"585",2,502,23.46,6,3,4,0.0577689243027888,0.0467330677290837,0.206896551724138,0
"586",1,631,94.61,6,5,3,0.0190174326465927,0.149936608557845,0.5,0
"587",2,1656,2.7,0,10,1,0.00301932367149758,0.0016304347826087,0,0
"588",3,574,92.73,8,0,3,0.0226480836236934,0.161550522648084,0.615384615384615,0
"589",2,888,55.67,11,5,5,0.0168918918918919,0.0626914414414414,0.733333333333333,0
"590",4,1412,88.07,1,8,1,0.0028328611898017,0.0623725212464589,0.25,0
"591",1,195,67.44,7,4,4,0.0615384615384615,0.345846153846154,0.583333333333333,0
"592",3,169,0.16,9,1,3,0.130177514792899,0.000946745562130178,0.409090909090909,0
"593",5,1263,77.22,10,7,4,0.0063341250989707,0.0611401425178147,1.25,0
"594",2,295,92.67,7,1,2,0.0745762711864407,0.314135593220339,0.318181818181818,0
"595",4,876,53.17,1,8,5,0.0148401826484018,0.0606963470319635,0.0769230769230769,0
"596",6,1789,15.16,3,10,4,0.00950251537171604,0.00847400782560089,0.176470588235294,0
"597",6,1530,56.97,6,9,2,0.00326797385620915,0.0372352941176471,1.2,0
"598",4,923,93.36,2,2,3,0.0184182015167931,0.101148429035753,0.117647058823529,0
"599",6,1164,89.32,11,4,1,0.00687285223367698,0.0767353951890034,1.375,0
"600",1,904,9.85,10,2,3,0.0110619469026549,0.010896017699115,1,0
"601",4,1293,55.85,9,10,5,0.00618716163959783,0.0431941221964424,1.125,0
"602",2,1230,95.63,5,7,3,0.0016260162601626,0.0777479674796748,2.5,0
"603",6,510,27.59,8,5,4,0.00392156862745098,0.0540980392156863,4,0
"604",6,1586,90.12,8,2,0,0.0182849936948298,0.0568221941992434,0.275862068965517,0
"605",1,1043,26.42,8,2,5,0.0172579098753595,0.0253307766059444,0.444444444444444,0
"606",4,975,24.49,6,2,0,0.00205128205128205,0.0251179487179487,3,0
"607",6,1235,10.5,4,3,1,0.0202429149797571,0.00850202429149798,0.16,0
"608",6,1034,30.4,2,3,2,0.00193423597678917,0.0294003868471954,1,0
"609",1,1812,36.14,10,1,2,0.00441501103752759,0.0199448123620309,1.25,0
"610",5,720,73.29,8,10,3,0.00555555555555556,0.101791666666667,2,0
"611",1,518,48.65,9,10,3,0.0501930501930502,0.0939189189189189,0.346153846153846,1
"612",3,1065,15.49,7,9,1,0.0187793427230047,0.0145446009389671,0.35,0
"613",6,351,70.31,6,8,2,0.0598290598290598,0.20031339031339,0.285714285714286,0
"614",5,1610,93.67,4,6,2,0.0031055900621118,0.0581801242236025,0.8,0
"615",5,1210,34,8,2,1,0.0140495867768595,0.028099173553719,0.470588235294118,0
"616",6,434,15.09,6,5,5,0.00460829493087558,0.0347695852534562,3,0
"617",5,1716,28,5,6,0,0.013986013986014,0.0163170163170163,0.208333333333333,0
"618",5,542,69.76,4,2,0,0.0350553505535055,0.128708487084871,0.210526315789474,0
"619",5,1629,58.91,3,2,5,0.0104358502148557,0.0361632903621854,0.176470588235294,0
"620",4,969,82.38,10,6,3,0.022703818369453,0.085015479876161,0.454545454545455,0
"621",1,1177,82.53,8,0,4,0.0110450297366185,0.0701189464740867,0.615384615384615,0
"622",1,326,93.09,9,0,1,0.0122699386503067,0.285552147239264,2.25,0
"623",6,615,96.76,4,8,3,0.0308943089430894,0.157333333333333,0.210526315789474,0
"624",4,120,41.28,1,0,0,0.0583333333333333,0.344,0.142857142857143,0
"625",3,1467,70.58,7,9,0,0.00749829584185412,0.0481117927743695,0.636363636363636,0
"626",5,1620,83.68,4,3,2,0.00864197530864197,0.0516543209876543,0.285714285714286,0
"627",6,1816,14.92,6,4,2,0.0165198237885463,0.008215859030837,0.2,0
"628",4,620,99.63,0,7,2,0.0032258064516129,0.160693548387097,0,0
"629",3,1374,52.01,3,4,1,0.000727802037845706,0.0378529839883552,3,0
"630",2,517,83.67,0,1,3,0.0290135396518375,0.16183752417795,0,0
"631",2,940,73.36,2,9,2,0.00212765957446809,0.0780425531914894,1,0
"632",5,78,74.44,0,2,5,0.358974358974359,0.954358974358974,0,0
"633",4,1221,20.33,6,7,0,0.0221130221130221,0.0166502866502867,0.222222222222222,0
"634",1,81,6.18,2,4,5,0.234567901234568,0.0762962962962963,0.105263157894737,0
"635",2,550,81.73,0,10,0,0.0545454545454545,0.1486,0,0
"636",4,239,47.98,6,1,1,0.096234309623431,0.200753138075314,0.260869565217391,0
"637",3,827,39.43,1,2,4,0.00846432889963724,0.0476783555018138,0.142857142857143,0
"638",4,316,16.35,9,8,0,0.00949367088607595,0.0517405063291139,3,0
"639",5,805,51.76,11,4,3,0.0062111801242236,0.0642981366459627,2.2,0
"640",4,89,84.35,1,9,1,0.134831460674157,0.947752808988764,0.0833333333333333,0
"641",5,401,20.27,2,6,3,0.00249376558603491,0.0505486284289277,2,0
"642",4,933,82.79,6,9,4,0.00214362272240086,0.0887352625937835,3,0
"643",2,1564,24.77,0,9,5,0.00447570332480818,0.0158375959079284,0,0
"644",2,369,36.17,10,4,2,0.0569105691056911,0.0980216802168022,0.476190476190476,0
"645",4,1155,73.36,11,10,0,0.0147186147186147,0.0635151515151515,0.647058823529412,0
"646",1,1782,13.34,5,1,4,0.0151515151515152,0.00748597081930415,0.185185185185185,1
"647",5,970,14.69,3,1,4,0.0288659793814433,0.0151443298969072,0.107142857142857,0
"648",4,1310,95.65,0,10,0,0.016030534351145,0.0730152671755725,0,0
"649",1,1542,9.99,2,10,2,0.0194552529182879,0.00647859922178988,0.0666666666666667,1
"650",4,1735,83.37,10,5,0,0.0126801152737752,0.0480518731988473,0.454545454545455,0
"651",6,1083,35.82,4,7,1,0.00369344413665743,0.0330747922437673,1,0
"652",1,883,74.69,11,2,2,0.0124575311438279,0.0845866364665912,1,0
"653",6,52,70.03,8,6,5,0.0384615384615385,1.34673076923077,4,0
"654",4,1568,99.64,3,2,4,0.0153061224489796,0.0635459183673469,0.125,0
"655",5,50,53.55,3,8,5,0.08,1.071,0.75,0
"656",3,1203,31.51,9,1,4,0.0149625935162095,0.02619285120532,0.5,0
"657",5,1618,60.74,11,10,4,0.0135970333745365,0.037540173053152,0.5,0
"658",6,1065,79.82,6,5,5,0.0253521126760563,0.0749483568075117,0.222222222222222,0
"659",3,1656,26.2,5,7,3,0.000603864734299517,0.0158212560386473,5,0
"660",2,1397,69.02,7,4,4,0.00715819613457409,0.0494058697208303,0.7,0
"661",4,1405,43.3,4,9,1,0.00711743772241993,0.0308185053380783,0.4,0
"662",2,1775,19.21,8,2,4,0.00112676056338028,0.0108225352112676,4,0
"663",6,1230,17.65,9,3,2,0.0048780487804878,0.014349593495935,1.5,0
"664",2,931,68.85,1,9,0,0.0268528464017186,0.073952738990333,0.04,0
"665",3,1496,85.06,7,9,2,0.00200534759358289,0.0568582887700535,2.33333333333333,0
"666",3,1501,42.54,10,7,3,0.00599600266489007,0.0283411059293804,1.11111111111111,0
"667",3,1012,26.27,0,1,1,0.00494071146245059,0.0259584980237154,0,0
"668",4,451,67.08,8,10,5,0.0133037694013304,0.148736141906874,1.33333333333333,0
"669",3,452,39.55,0,7,3,0.0530973451327434,0.0875,0,0
"670",6,486,91.58,3,2,4,0.0411522633744856,0.18843621399177,0.15,0
"671",4,558,25.96,2,10,5,0.010752688172043,0.0465232974910394,0.333333333333333,0
"672",3,1569,19.5,6,2,4,0.00892288081580625,0.0124282982791587,0.428571428571429,0
"673",6,552,3.78,8,6,3,0.0036231884057971,0.00684782608695652,4,0
"674",2,149,49.15,5,1,0,0.0201342281879195,0.329865771812081,1.66666666666667,0
"675",1,994,81.79,9,4,0,0.0160965794768612,0.0822837022132797,0.5625,0
"676",1,1742,52.47,7,4,4,0.0103329506314581,0.0301205510907003,0.388888888888889,0
"677",2,1476,97.73,9,0,1,0.0101626016260163,0.0662127371273713,0.6,0
"678",3,587,8.2,11,2,5,0.0323679727427598,0.01396933560477,0.578947368421053,0
"679",1,824,25.31,1,9,4,0.0194174757281553,0.0307160194174757,0.0625,0
"680",4,400,86.11,0,7,0,0.0025,0.215275,0,0
"681",1,1506,36.67,7,3,4,0.0119521912350598,0.0243492695883134,0.388888888888889,0
"682",6,1635,98.26,0,10,4,0.00244648318042813,0.0600978593272171,0,0
"683",2,1294,89.66,8,3,3,0.0170015455950541,0.0692890262751159,0.363636363636364,0
"684",4,1520,49.67,5,6,2,0.0177631578947368,0.0326776315789474,0.185185185185185,0
"685",6,1283,89.36,7,2,0,0.0233826968043648,0.0696492595479345,0.233333333333333,0
"686",4,976,15.59,6,9,0,0.0297131147540984,0.0159733606557377,0.206896551724138,0
"687",4,1793,4.58,7,1,4,0.0161740100390407,0.00255437813720022,0.241379310344828,0
"688",2,95,79.98,2,0,4,0.231578947368421,0.841894736842105,0.0909090909090909,0
"689",4,946,92.48,10,1,1,0.0179704016913319,0.0977589852008457,0.588235294117647,0
"690",5,450,13.67,5,2,0,0.0577777777777778,0.0303777777777778,0.192307692307692,0
"691",5,1778,66.21,7,10,0,0.00506186726659168,0.0372384701912261,0.777777777777778,0
"692",5,1461,16.45,0,9,5,0.0157426420260096,0.0112594113620808,0,0
"693",5,1248,58.5,9,5,3,0.0240384615384615,0.046875,0.3,0
"694",2,1646,62.93,3,5,5,0.00243013365735115,0.038232077764277,0.75,0
"695",2,137,66.41,9,6,1,0.0510948905109489,0.484744525547445,1.28571428571429,0
"696",2,214,14.17,0,4,3,0.0560747663551402,0.066214953271028,0,0
"697",6,1826,42.12,4,10,5,0.00985761226725082,0.0230668127053669,0.222222222222222,0
"698",1,901,31.16,4,9,2,0.0277469478357381,0.0345837957824639,0.16,1
"699",1,1692,21.21,4,10,5,0.00709219858156028,0.0125354609929078,0.333333333333333,0
"700",1,1129,87.01,7,2,3,0.00620017714791851,0.0770682019486271,1,0
